genome_id,source,Level,WGS,Chrs,BioSample,strain,organism,genus,species,closest_placement_reference
GCA_016719695.1,ncbi,Contig,JADJYR000000000,undefined,SAMN16426235,Lyne_18-Q3-R50-59_BATAC.510,Candidatus Obscuribacter sp.,Candidatus,Obscuribacter,
GCA_016720765.1,ncbi,Contig,JADKJY000000000,undefined,SAMN16426539,Vibo_18-Q3-R45-57_BATAC.463,Candidatus Obscuribacter sp.,Candidatus,Obscuribacter,
GCA_016721225.1,ncbi,Contig,JADKIN000000000,undefined,SAMN16426499,Skiv_18-Q3-R9-52_MAXAC.062,Candidatus Obscuribacter sp.,Candidatus,Obscuribacter,
GCA_016712465.1,ncbi,Contig,JADJQZ000000000,undefined,SAMN16426015,Fred_18-Q3-R57-64_MAXAC.356,Candidatus Obscuribacter sp.,Candidatus,Obscuribacter,
GCA_016716945.1,ncbi,Contig,JADJUQ000000000,undefined,SAMN16426115,Hirt_18-Q3-R61-65_MAXAC.060,Candidatus Obscuribacter sp.,Candidatus,Obscuribacter,
GCA_016714375.1,ncbi,Contig,JADJND000000000,undefined,SAMN16425900,EsbW_18-Q3-R4-48_MAXAC.047,Candidatus Obscuribacter sp.,Candidatus,Obscuribacter,
GCA_016706695.1,ncbi,Contig,JADJJA000000000,undefined,SAMN16425790,Ejby_18-Q3-R6-50_BATAC.123,Candidatus Obscuribacter sp.,Candidatus,Obscuribacter,
GCA_016706995.1,ncbi,Contig,JADJIP000000000,undefined,SAMN16425779,Ega_18-Q3-R5-49_MAXAC.254,Candidatus Omnitrophica bacterium,Candidatus,Omnitrophica,
GCA_016699145.1,ncbi,Complete genome,undefined,1,SAMN16425592,Aved_18-Q3-R54-62_BAT3C.344,Candidatus Peregrinibacteria bacterium,Candidatus,Peregrinibacteria,
GCA_016699515.1,ncbi,Complete genome,undefined,1,SAMN16425923,Fred_18-Q3-R57-64_BAT3C.1_cln,Candidatus Peregrinibacteria bacterium,Candidatus,Peregrinibacteria,
GCA_016699755.1,ncbi,Complete genome,undefined,1,SAMN16426277,Lyne_18-Q3-R50-59_MAXAC.411_cln,Candidatus Peregrinibacteria bacterium,Candidatus,Peregrinibacteria,
GCA_016707605.1,ncbi,Contig,JADJHJ000000000,undefined,SAMN16425746,Ega_18-Q3-R5-49_BAT3C.159,Candidatus Promineofilum sp.,Candidatus,Promineofilum,
GCA_016700135.1,ncbi,Complete genome,undefined,1,SAMN16426207,Kalu_18-Q3-R12-55_MAXAC.194_uni,Candidatus Roizmanbacteria bacterium,Candidatus,Roizmanbacteria,
GCA_016699265.1,ncbi,Complete genome,undefined,1,SAMN16425721,Damh_18-Q3-R51-60_BAT3C.63_uni,Candidatus Roizmanbacteria bacterium,Candidatus,Roizmanbacteria,
GCA_016699065.1,ncbi,Complete genome,undefined,1,SAMN16425540,AalW_18-Q3-R10-53_BAT3C.508_uni,Candidatus Saccharibacteria bacterium,Candidatus,Saccharibacteria,
GCA_016699955.1,ncbi,Complete genome,undefined,1,SAMN16426127,Hirt_18-Q3-R61-65_MAXAC.330_cln,Candidatus Saccharibacteria bacterium,Candidatus,Saccharibacteria,
GCA_016699935.1,ncbi,Complete genome,undefined,1,SAMN16426110,Hirt_18-Q3-R61-65_BATAC.98_uni,Candidatus Saccharibacteria bacterium,Candidatus,Saccharibacteria,
GCA_016700015.1,ncbi,Complete genome,undefined,1,SAMN16426151,Hjor_18-Q3-R7-51_MAXAC.102_uni,Candidatus Saccharibacteria bacterium,Candidatus,Saccharibacteria,
GCA_016699895.1,ncbi,Complete genome,undefined,1,SAMN16426086,Hirt_18-Q3-R61-65_BAT3C.362_fly,Candidatus Saccharibacteria bacterium,Candidatus,Saccharibacteria,
GCA_016700315.1,ncbi,Complete genome,undefined,1,SAMN16426438,Ribe_18-Q3-R11-54_BATAC.540_fly,Candidatus Saccharibacteria bacterium,Candidatus,Saccharibacteria,
GCA_016700395.1,ncbi,Complete genome,undefined,1,SAMN16426534,Vibo_18-Q3-R45-57_BATAC.32_fly,Candidatus Saccharibacteria bacterium,Candidatus,Saccharibacteria,
GCA_016700375.1,ncbi,Complete genome,undefined,1,SAMN16426517,Vibo_18-Q3-R45-57_BAT3C.117_fly,Candidatus Saccharibacteria bacterium,Candidatus,Saccharibacteria,
GCA_016700355.1,ncbi,Complete genome,undefined,1,SAMN16426466,Skiv_18-Q3-R9-52_BAT3C.188_fly,Candidatus Saccharibacteria bacterium,Candidatus,Saccharibacteria,
GCA_016699205.1,ncbi,Complete genome,undefined,1,SAMN16425670,Bjer_18-Q3-R1-45_BAT3C.201_fly,Candidatus Uhrbacteria bacterium,Candidatus,Uhrbacteria,
GCA_016700095.1,ncbi,Complete genome,undefined,1,SAMN16426204,Kalu_18-Q3-R12-55_MAXAC.182_cln,Candidatus Woesebacteria bacterium,Candidatus,Woesebacteria,
GCA_016703335.1,ncbi,Contig,JADJCG000000000,undefined,SAMN16425607,Aved_18-Q3-R54-62_BATAC.292,Caulobacteraceae bacterium,Caulobacteraceae,bacterium,
GCA_016710795.1,ncbi,Contig,JADJUG000000000,undefined,SAMN16426104,Hirt_18-Q3-R61-65_BATAC.448_sub,Caulobacteraceae bacterium,Caulobacteraceae,bacterium,
GCA_016712405.1,ncbi,Contig,JADJRD000000000,undefined,SAMN16426019,Fred_18-Q3-R57-64_MAXAC.373,Cellvibrio sp.,Cellvibrio,sp.,
GCA_016712055.1,ncbi,Contig,JADJRS000000000,undefined,SAMN16426037,Hade_18-Q3-R52-61_BATAC.14,Cellvibrionales bacterium,Cellvibrionales,bacterium,
GCA_016713115.1,ncbi,Contig,JADJPU000000000,undefined,SAMN16425981,Fred_18-Q3-R57-64_BATAC.644,Cellvibrionales bacterium,Cellvibrionales,bacterium,
GCA_016715485.1,ncbi,Contig,JADJZZ000000000,undefined,SAMN16426269,Lyne_18-Q3-R50-59_MAXAC.318,Cellvibrionales bacterium,Cellvibrionales,bacterium,
GCA_016715365.1,ncbi,Contig,JADKAM000000000,undefined,SAMN16426285,Mari_18-Q3-R65-66_BAT3C.374,Chitinophagaceae bacterium,Chitinophagaceae,bacterium,
GCA_016714865.1,ncbi,Contig,JADKBY000000000,undefined,SAMN16426324,OdNE_18-Q3-R46-58_BATAC.190,Chitinophagaceae bacterium,Chitinophagaceae,bacterium,
GCA_016713085.1,ncbi,Contig,JADJPV000000000,undefined,SAMN16425982,Fred_18-Q3-R57-64_BATAC.715,Chitinophagaceae bacterium,Chitinophagaceae,bacterium,
GCA_016713965.1,ncbi,Contig,JADJOC000000000,undefined,SAMN16425932,Fred_18-Q3-R57-64_BAT3C.305,Chitinophagaceae bacterium,Chitinophagaceae,bacterium,
GCA_016711945.1,ncbi,Contig,JADJSB000000000,undefined,SAMN16426046,Hade_18-Q3-R52-61_BATAC.34,Chitinophagaceae bacterium,Chitinophagaceae,bacterium,
GCA_016712195.1,ncbi,Contig,JADJRN000000000,undefined,SAMN16426032,Hade_18-Q3-R52-61_BAT3C.212,Chitinophagaceae bacterium,Chitinophagaceae,bacterium,
GCA_016712725.1,ncbi,Contig,JADJQK000000000,undefined,SAMN16425999,Fred_18-Q3-R57-64_MAXAC.248,Chitinophagaceae bacterium,Chitinophagaceae,bacterium,
GCA_016721385.1,ncbi,Contig,JADKIE000000000,undefined,SAMN16426490,Skiv_18-Q3-R9-52_BATAC.474,Chitinophagaceae bacterium,Chitinophagaceae,bacterium,
GCA_016721515.1,ncbi,Contig,JADKHZ000000000,undefined,SAMN16426485,Skiv_18-Q3-R9-52_BATAC.296,Chitinophagaceae bacterium,Chitinophagaceae,bacterium,
GCA_016721725.1,ncbi,Contig,JADKHN000000000,undefined,SAMN16426473,Skiv_18-Q3-R9-52_BAT3C.489,Chitinophagaceae bacterium,Chitinophagaceae,bacterium,
GCA_016721575.1,ncbi,Contig,JADKHV000000000,undefined,SAMN16426481,Skiv_18-Q3-R9-52_BATAC.284,Chitinophagaceae bacterium,Chitinophagaceae,bacterium,
GCA_016722125.1,ncbi,Contig,JADKGU000000000,undefined,SAMN16426453,Ribe_18-Q3-R11-54_MAXAC.199,Chitinophagaceae bacterium,Chitinophagaceae,bacterium,
GCA_016722395.1,ncbi,Contig,JADKJD000000000,undefined,SAMN16426515,Skiv_18-Q3-R9-52_MAXAC.329,Chitinophagaceae bacterium,Chitinophagaceae,bacterium,
GCA_016722465.1,ncbi,Contig,JADKJC000000000,undefined,SAMN16426514,Skiv_18-Q3-R9-52_MAXAC.311,Chitinophagaceae bacterium,Chitinophagaceae,bacterium,
GCA_016722245.1,ncbi,Contig,JADKGM000000000,undefined,SAMN16426444,Ribe_18-Q3-R11-54_MAXAC.016,Chitinophagaceae bacterium,Chitinophagaceae,bacterium,
GCA_016720745.1,ncbi,Contig,JADKKA000000000,undefined,SAMN16426541,Vibo_18-Q3-R45-57_MAXAC.049,Chitinophagaceae bacterium,Chitinophagaceae,bacterium,
GCA_016720825.1,ncbi,Contig,JADKJV000000000,undefined,SAMN16426535,Vibo_18-Q3-R45-57_BATAC.411,Chitinophagaceae bacterium,Chitinophagaceae,bacterium,
GCA_016720775.1,ncbi,Contig,JADKJX000000000,undefined,SAMN16426538,Vibo_18-Q3-R45-57_BATAC.460,Chitinophagaceae bacterium,Chitinophagaceae,bacterium,
GCA_016720565.1,ncbi,Contig,JADKKJ000000000,undefined,SAMN16426550,Vibo_18-Q3-R45-57_MAXAC.200,Chitinophagaceae bacterium,Chitinophagaceae,bacterium,
GCA_016720585.1,ncbi,Contig,JADKKH000000000,undefined,SAMN16426548,Vibo_18-Q3-R45-57_MAXAC.177,Chitinophagaceae bacterium,Chitinophagaceae,bacterium,
GCA_016721085.1,ncbi,Contig,JADKJI000000000,undefined,SAMN16426521,Vibo_18-Q3-R45-57_BAT3C.204_sub,Chitinophagaceae bacterium,Chitinophagaceae,bacterium,
GCA_016721065.1,ncbi,Contig,JADKJK000000000,undefined,SAMN16426523,Vibo_18-Q3-R45-57_BAT3C.70,Chitinophagaceae bacterium,Chitinophagaceae,bacterium,
GCA_016720195.1,ncbi,Contig,JADKLC000000000,undefined,SAMN16426569,Viby_18-Q3-R106-67_MAXAC.156,Chitinophagaceae bacterium,Chitinophagaceae,bacterium,
GCA_016720155.1,ncbi,Contig,JADKLA000000000,undefined,SAMN16426567,Viby_18-Q3-R106-67_MAXAC.144,Chitinophagaceae bacterium,Chitinophagaceae,bacterium,
GCA_016719995.1,ncbi,Contig,JADJXX000000000,undefined,SAMN16426214,Lyne_18-Q3-R50-59_BAT3C.266,Chitinophagaceae bacterium,Chitinophagaceae,bacterium,
GCA_016719815.1,ncbi,Contig,JADJYK000000000,undefined,SAMN16426227,Lyne_18-Q3-R50-59_BATAC.274,Chitinophagaceae bacterium,Chitinophagaceae,bacterium,
GCA_016718745.1,ncbi,Contig,JADKCR000000000,undefined,SAMN16426343,OdNE_18-Q3-R46-58_MAXAC.077,Chitinophagaceae bacterium,Chitinophagaceae,bacterium,
GCA_016719015.1,ncbi,Contig,JADKAZ000000000,undefined,SAMN16426298,Mari_18-Q3-R65-66_MAXAC.024,Chitinophagaceae bacterium,Chitinophagaceae,bacterium,
GCA_016719165.1,ncbi,Contig,JADKAJ000000000,undefined,SAMN16426281,Mari_18-Q3-R65-66_BAT3C.296,Chitinophagaceae bacterium,Chitinophagaceae,bacterium,
GCA_016718105.1,ncbi,Contig,JADKEG000000000,undefined,SAMN16426384,OdNW_18-Q3-R42-56_MAXAC.195,Chitinophagaceae bacterium,Chitinophagaceae,bacterium,
GCA_016717985.1,ncbi,Contig,JADKEQ000000000,undefined,SAMN16426395,Rand_18-Q3-R56-63_BAT3C.301,Chitinophagaceae bacterium,Chitinophagaceae,bacterium,
GCA_016717285.1,ncbi,Contig,JADKFU000000000,undefined,SAMN16426425,Ribe_18-Q3-R11-54_BAT3C.271,Chitinophagaceae bacterium,Chitinophagaceae,bacterium,
GCA_016717645.1,ncbi,Contig,JADKFF000000000,undefined,SAMN16426410,Rand_18-Q3-R56-63_MAXAC.026,Chitinophagaceae bacterium,Chitinophagaceae,bacterium,
GCA_016710745.1,ncbi,Contig,JADJVB000000000,undefined,SAMN16426126,Hirt_18-Q3-R61-65_MAXAC.324_sub,Chitinophagaceae bacterium,Chitinophagaceae,bacterium,
GCA_016710395.1,ncbi,Contig,JADJVY000000000,undefined,SAMN16426152,Hjor_18-Q3-R7-51_MAXAC.114,Chitinophagaceae bacterium,Chitinophagaceae,bacterium,
GCA_016710165.1,ncbi,Contig,JADJLJ000000000,undefined,SAMN16425853,EsbE_18-Q3-R3-47_MAXAC.191,Chitinophagaceae bacterium,Chitinophagaceae,bacterium,
GCA_016711005.1,ncbi,Contig,JADJTU000000000,undefined,SAMN16426092,Hirt_18-Q3-R61-65_BAT3C.594,Chitinophagaceae bacterium,Chitinophagaceae,bacterium,
GCA_016710935.1,ncbi,Contig,JADJTY000000000,undefined,SAMN16426096,Hirt_18-Q3-R61-65_BATAC.207,Chitinophagaceae bacterium,Chitinophagaceae,bacterium,
GCA_016709685.1,ncbi,Contig,JADJMJ000000000,undefined,SAMN16425880,EsbW_18-Q3-R4-48_BATAC.313,Chitinophagaceae bacterium,Chitinophagaceae,bacterium,
GCA_016709045.1,ncbi,Contig,JADJEP000000000,undefined,SAMN16425669,Bjer_18-Q3-R1-45_BAT3C.2,Chitinophagaceae bacterium,Chitinophagaceae,bacterium,
GCA_016706495.1,ncbi,Contig,JADJJP000000000,undefined,SAMN16425805,Ejby_18-Q3-R6-50_MAXAC.157,Chitinophagaceae bacterium,Chitinophagaceae,bacterium,
GCA_016706785.1,ncbi,Contig,JADJIX000000000,undefined,SAMN16425787,Ejby_18-Q3-R6-50_BAT3C.370,Chitinophagaceae bacterium,Chitinophagaceae,bacterium,
GCA_016708765.1,ncbi,Contig,JADJFD000000000,undefined,SAMN16425685,Bjer_18-Q3-R1-45_BATAC.444,Chitinophagaceae bacterium,Chitinophagaceae,bacterium,
GCA_016708275.1,ncbi,Contig,JADJFZ000000000,undefined,SAMN16425707,Bjer_18-Q3-R1-45_MAXAC.202,Chitinophagaceae bacterium,Chitinophagaceae,bacterium,
GCA_016708085.1,ncbi,Contig,JADJGK000000000,undefined,SAMN16425719,Damh_18-Q3-R51-60_BAT3C.395,Chitinophagaceae bacterium,Chitinophagaceae,bacterium,
GCA_016704325.1,ncbi,Contig,JADJAG000000000,undefined,SAMN16425552,AalW_18-Q3-R10-53_BATAC.339,Chitinophagaceae bacterium,Chitinophagaceae,bacterium,
GCA_016703775.1,ncbi,Contig,JADJBJ000000000,undefined,SAMN16425581,AalW_18-Q3-R10-53_MAXAC.364,Chitinophagaceae bacterium,Chitinophagaceae,bacterium,
GCA_016704985.1,ncbi,Contig,JADIZC000000000,undefined,SAMN16425520,AalE_18-Q3-R2-46_MAXAC.039,Chitinophagaceae bacterium,Chitinophagaceae,bacterium,
GCA_016704945.1,ncbi,Contig,JADIZF000000000,undefined,SAMN16425523,AalE_18-Q3-R2-46_MAXAC.082,Chitinophagaceae bacterium,Chitinophagaceae,bacterium,
GCA_016705765.1,ncbi,Contig,JADJKV000000000,undefined,SAMN16425839,EsbE_18-Q3-R3-47_MAXAC.055,Chitinophagaceae bacterium,Chitinophagaceae,bacterium,
GCA_016705635.1,ncbi,Contig,JADJLF000000000,undefined,SAMN16425849,EsbE_18-Q3-R3-47_MAXAC.166,Chitinophagaceae bacterium,Chitinophagaceae,bacterium,
GCA_016706055.1,ncbi,Contig,JADJKL000000000,undefined,SAMN16425829,EsbE_18-Q3-R3-47_BATAC.289,Chitinophagaceae bacterium,Chitinophagaceae,bacterium,
GCA_016706205.1,ncbi,Contig,JADJKC000000000,undefined,SAMN16425819,EsbE_18-Q3-R3-47_BAT3C.200,Chitinophagaceae bacterium,Chitinophagaceae,bacterium,
GCA_016706245.1,ncbi,Contig,JADJKA000000000,undefined,SAMN16425817,EsbE_18-Q3-R3-47_BAT3C.162,Chitinophagaceae bacterium,Chitinophagaceae,bacterium,
GCA_016703625.1,ncbi,Contig,JADJBP000000000,undefined,SAMN16425589,Aved_18-Q3-R54-62_BAT3C.258_sub,Chitinophagaceae bacterium,Chitinophagaceae,bacterium,
GCA_016702745.1,ncbi,Contig,JADJDJ000000000,undefined,SAMN16425637,Aved_18-Q3-R54-62_MAXAC.105,Chitinophagaceae bacterium,Chitinophagaceae,bacterium,
GCA_016699815.1,ncbi,Complete genome,undefined,1,SAMN16426388,Rand_18-Q3-R56-63_BAT3C.147_cln,Chitinophagaceae bacterium,Chitinophagaceae,bacterium,
GCA_016706275.1,ncbi,Contig,JADJJY000000000,undefined,SAMN16425815,EsbE_18-Q3-R3-47_BAT3C.144,Chloracidobacterium sp.,Chloracidobacterium,sp.,
GCA_016706035.1,ncbi,Contig,JADJKJ000000000,undefined,SAMN16425827,EsbE_18-Q3-R3-47_BATAC.228,Chloracidobacterium sp.,Chloracidobacterium,sp.,
GCA_016711345.1,ncbi,Contig,JADJTD000000000,undefined,SAMN16426074,Hade_18-Q3-R52-61_MAXAC.360,Chloracidobacterium sp.,Chloracidobacterium,sp.,
GCA_016719125.1,ncbi,Contig,JADKAU000000000,undefined,SAMN16426293,Mari_18-Q3-R65-66_BATAC.326,Chloracidobacterium sp.,Chloracidobacterium,sp.,
GCA_016721095.1,ncbi,Contig,JADKIT000000000,undefined,SAMN16426505,Skiv_18-Q3-R9-52_MAXAC.113,Chloracidobacterium sp.,Chloracidobacterium,sp.,
GCA_016720705.1,ncbi,Contig,JADKKB000000000,undefined,SAMN16426542,Vibo_18-Q3-R45-57_MAXAC.065,Chloracidobacterium sp.,Chloracidobacterium,sp.,
GCA_016712045.1,ncbi,Contig,JADJRV000000000,undefined,SAMN16426040,Hade_18-Q3-R52-61_BATAC.229,Chloracidobacterium sp.,Chloracidobacterium,sp.,
GCA_016714265.1,ncbi,Contig,JADJNJ000000000,undefined,SAMN16425906,EsbW_18-Q3-R4-48_MAXAC.080,Chloracidobacterium sp.,Chloracidobacterium,sp.,
GCA_016716365.1,ncbi,Contig,JADJWM000000000,undefined,SAMN16426167,Kalu_18-Q3-R12-55_BAT3C.268,Chloracidobacterium sp.,Chloracidobacterium,sp.,
GCA_016716305.1,ncbi,Contig,JADJWP000000000,undefined,SAMN16426170,Kalu_18-Q3-R12-55_BAT3C.355,Chloracidobacterium sp.,Chloracidobacterium,sp.,
GCA_016715795.1,ncbi,Contig,JADJXP000000000,undefined,SAMN16426201,Kalu_18-Q3-R12-55_MAXAC.141_sub,Chloracidobacterium sp.,Chloracidobacterium,sp.,
GCA_016710285.1,ncbi,Contig,JADJXR000000000,undefined,SAMN16426203,Kalu_18-Q3-R12-55_MAXAC.169,Chlorobi bacterium,Chlorobi,bacterium,
GCA_016722625.1,ncbi,Contig,JADKIV000000000,undefined,SAMN16426507,Skiv_18-Q3-R9-52_MAXAC.146,Chlorobi bacterium,Chlorobi,bacterium,
GCA_016700335.1,ncbi,Complete genome,undefined,1,SAMN16426450,Ribe_18-Q3-R11-54_MAXAC.096_cln,Chlorobi bacterium,Chlorobi,bacterium,
GCA_016703445.1,ncbi,Contig,JADJCB000000000,undefined,SAMN16425602,Aved_18-Q3-R54-62_BATAC.192,Chloroflexi bacterium,Chloroflexi,bacterium,
GCA_016711405.1,ncbi,Contig,JADJSZ000000000,undefined,SAMN16426070,Hade_18-Q3-R52-61_MAXAC.236_sub,Chloroflexi bacterium,Chloroflexi,bacterium,
GCA_016707865.1,ncbi,Contig,JADJGX000000000,undefined,SAMN16425733,Damh_18-Q3-R51-60_MAXAC.008,Chloroflexi bacterium,Chloroflexi,bacterium,
GCA_016705235.1,ncbi,Contig,JADIYP000000000,undefined,SAMN16425507,AalE_18-Q3-R2-46_BATAC.251,Chloroflexi bacterium,Chloroflexi,bacterium,
GCA_016716065.1,ncbi,Contig,JADJXA000000000,undefined,SAMN16426181,Kalu_18-Q3-R12-55_BATAC.47,Chloroflexi bacterium,Chloroflexi,bacterium,
GCA_016716885.1,ncbi,Contig,JADJUV000000000,undefined,SAMN16426120,Hirt_18-Q3-R61-65_MAXAC.142,Chloroflexi bacterium,Chloroflexi,bacterium,
GCA_016716525.1,ncbi,Contig,JADJWE000000000,undefined,SAMN16426158,Kalu_18-Q3-R12-55_BAT3C.186,Chloroflexi bacterium,Chloroflexi,bacterium,
GCA_016713795.1,ncbi,Contig,JADJOL000000000,undefined,SAMN16425945,Fred_18-Q3-R57-64_BAT3C.529_sub,Chloroflexi bacterium,Chloroflexi,bacterium,
GCA_016712885.1,ncbi,Contig,JADJQF000000000,undefined,SAMN16425994,Fred_18-Q3-R57-64_MAXAC.112,Chloroflexi bacterium,Chloroflexi,bacterium,
GCA_016713355.1,ncbi,Contig,JADJPI000000000,undefined,SAMN16425968,Fred_18-Q3-R57-64_BATAC.369,Chloroflexi bacterium,Chloroflexi,bacterium,
GCA_016713325.1,ncbi,Contig,JADJPJ000000000,undefined,SAMN16425970,Fred_18-Q3-R57-64_BATAC.421,Chloroflexi bacterium,Chloroflexi,bacterium,
GCA_016720015.1,ncbi,Contig,JADJYB000000000,undefined,SAMN16426218,Lyne_18-Q3-R50-59_BAT3C.496,Chloroflexi bacterium,Chloroflexi,bacterium,
GCA_016717205.1,ncbi,Contig,JADKGC000000000,undefined,SAMN16426433,Ribe_18-Q3-R11-54_BATAC.253,Chloroflexi bacterium,Chloroflexi,bacterium,
GCA_016714645.1,ncbi,Contig,JADKCI000000000,undefined,SAMN16426334,OdNE_18-Q3-R46-58_MAXAC.011,Chromatiaceae bacterium,Chromatiaceae,bacterium,
GCA_016713575.1,ncbi,Contig,JADJOW000000000,undefined,SAMN16425956,Fred_18-Q3-R57-64_BATAC.223,Comamonadaceae bacterium,Comamonadaceae,bacterium,
GCA_016711745.1,ncbi,Contig,JADJSM000000000,undefined,SAMN16426057,Hade_18-Q3-R52-61_MAXAC.026,Comamonadaceae bacterium,Comamonadaceae,bacterium,
GCA_016719055.1,ncbi,Contig,JADKAW000000000,undefined,SAMN16426295,Mari_18-Q3-R65-66_BATAC.397,Comamonadaceae bacterium,Comamonadaceae,bacterium,
GCA_016705605.1,ncbi,Contig,JADIXY000000000,undefined,SAMN16425490,AalE_18-Q3-R2-46_BAT3C.151,Comamonadaceae bacterium,Comamonadaceae,bacterium,
GCA_016704085.1,ncbi,Contig,JADJAV000000000,undefined,SAMN16425567,AalW_18-Q3-R10-53_MAXAC.039,Comamonadaceae bacterium,Comamonadaceae,bacterium,
GCA_016708185.1,ncbi,Contig,JADJGH000000000,undefined,SAMN16425715,Damh_18-Q3-R51-60_BAT3C.25,Comamonadaceae bacterium,Comamonadaceae,bacterium,
GCA_016707245.1,ncbi,Contig,JADJIE000000000,undefined,SAMN16425767,Ega_18-Q3-R5-49_MAXAC.022,Comamonadaceae bacterium,Comamonadaceae,bacterium,
GCA_016709115.1,ncbi,Contig,JADJEM000000000,undefined,SAMN16425666,Bjer_18-Q3-R1-45_BAT3C.132,Comamonadaceae bacterium,Comamonadaceae,bacterium,
GCA_016703905.1,ncbi,Contig,JADJBF000000000,undefined,SAMN16425577,AalW_18-Q3-R10-53_MAXAC.302,Coprothermobacter sp.,Coprothermobacter,sp.,
GCA_016704245.1,ncbi,Contig,JADJAM000000000,undefined,SAMN16425558,AalW_18-Q3-R10-53_BATAC.5,Crocinitomicaceae bacterium,Crocinitomicaceae,bacterium,
GCA_016709005.1,ncbi,Contig,JADJEU000000000,undefined,SAMN16425675,Bjer_18-Q3-R1-45_BAT3C.293,Crocinitomicaceae bacterium,Crocinitomicaceae,bacterium,
GCA_016708105.1,ncbi,Contig,JADJGJ000000000,undefined,SAMN16425717,Damh_18-Q3-R51-60_BAT3C.266,Crocinitomicaceae bacterium,Crocinitomicaceae,bacterium,
GCA_016718305.1,ncbi,Contig,JADKDW000000000,undefined,SAMN16426374,OdNW_18-Q3-R42-56_BATAC.93,Crocinitomicaceae bacterium,Crocinitomicaceae,bacterium,
GCA_016720025.1,ncbi,Contig,JADJXZ000000000,undefined,SAMN16426216,Lyne_18-Q3-R50-59_BAT3C.421,Crocinitomicaceae bacterium,Crocinitomicaceae,bacterium,
GCA_016719925.1,ncbi,Contig,JADJYC000000000,undefined,SAMN16426219,Lyne_18-Q3-R50-59_BAT3C.522,Crocinitomicaceae bacterium,Crocinitomicaceae,bacterium,
GCA_016720225.1,ncbi,Contig,JADKKY000000000,undefined,SAMN16426565,Viby_18-Q3-R106-67_MAXAC.070,Cytophagaceae bacterium,Cytophagaceae,bacterium,
GCA_016722195.1,ncbi,Contig,JADKGP000000000,undefined,SAMN16426447,Ribe_18-Q3-R11-54_MAXAC.058,Cytophagaceae bacterium,Cytophagaceae,bacterium,
GCA_016718725.1,ncbi,Contig,JADKCU000000000,undefined,SAMN16426346,OdNE_18-Q3-R46-58_MAXAC.096,Cytophagaceae bacterium,Cytophagaceae,bacterium,
GCA_016708935.1,ncbi,Contig,JADJEX000000000,undefined,SAMN16425679,Bjer_18-Q3-R1-45_BATAC.113,Cytophagaceae bacterium,Cytophagaceae,bacterium,
GCA_016722655.1,ncbi,Contig,JADKIR000000000,undefined,SAMN16426503,Skiv_18-Q3-R9-52_MAXAC.090,Cytophagaceae bacterium,Cytophagaceae,bacterium,
GCA_016710695.1,ncbi,Contig,JADJUK000000000,undefined,SAMN16426108,Hirt_18-Q3-R61-65_BATAC.715,Dehalococcoidia bacterium,Dehalococcoidia,bacterium,
GCA_016708155.1,ncbi,Contig,JADJGI000000000,undefined,SAMN16425716,Damh_18-Q3-R51-60_BAT3C.259,Dehalococcoidia bacterium,Dehalococcoidia,bacterium,
GCA_016706855.1,ncbi,Contig,JADJIU000000000,undefined,SAMN16425784,Ejby_18-Q3-R6-50_BAT3C.216,Dehalococcoidia bacterium,Dehalococcoidia,bacterium,
GCA_016704105.1,ncbi,Contig,JADJAT000000000,undefined,SAMN16425565,AalW_18-Q3-R10-53_MAXAC.018,Dehalococcoidia bacterium,Dehalococcoidia,bacterium,
GCA_016705355.1,ncbi,Contig,JADIYK000000000,undefined,SAMN16425502,AalE_18-Q3-R2-46_BAT3C.409,Dehalococcoidia bacterium,Dehalococcoidia,bacterium,
GCA_016705845.1,ncbi,Contig,JADJKS000000000,undefined,SAMN16425836,EsbE_18-Q3-R3-47_MAXAC.015,Dehalococcoidia bacterium,Dehalococcoidia,bacterium,
GCA_016719395.1,ncbi,Contig,JADJZF000000000,undefined,SAMN16426249,Lyne_18-Q3-R50-59_MAXAC.019,Dehalococcoidia bacterium,Dehalococcoidia,bacterium,
GCA_016718215.1,ncbi,Contig,JADKDY000000000,undefined,SAMN16426376,OdNW_18-Q3-R42-56_MAXAC.019,Dehalococcoidia bacterium,Dehalococcoidia,bacterium,
GCA_016717905.1,ncbi,Contig,JADKEO000000000,undefined,SAMN16426393,Rand_18-Q3-R56-63_BAT3C.210,Dehalococcoidia bacterium,Dehalococcoidia,bacterium,
GCA_016717595.1,ncbi,Contig,JADKFE000000000,undefined,SAMN16426409,Rand_18-Q3-R56-63_MAXAC.001,Deltaproteobacteria bacterium,Deltaproteobacteria,bacterium,
GCA_016719515.1,ncbi,Contig,JADJYZ000000000,undefined,SAMN16426243,Lyne_18-Q3-R50-59_MAXAC.002,Deltaproteobacteria bacterium,Deltaproteobacteria,bacterium,
GCA_016712475.1,ncbi,Contig,JADJRA000000000,undefined,SAMN16426016,Fred_18-Q3-R57-64_MAXAC.359,Deltaproteobacteria bacterium,Deltaproteobacteria,bacterium,
GCA_016713665.1,ncbi,Contig,JADJOR000000000,undefined,SAMN16425951,Fred_18-Q3-R57-64_BAT3C.701,Deltaproteobacteria bacterium,Deltaproteobacteria,bacterium,
