genome_id,source,organism,genus,species,strain,closest_placement_reference,Genome,Phylum,# of Contigs,Length (bp),CheckM Completeness %,CheckM Contamination %,ncbi_mapping,Level,WGS,BioSample,Isolate,Taxonomy,bgcflow_project_name,Assigned Taxonomy,created_on,attributes,name,material,location,viewable,sequences,library,feature,basepairs,sequencing_method,country,sample,sequence_type,biome,coordinates,contig count,Genome size (bp),ctg_N50,ctg_L50,ctg_N90,ctg_L90,ctg_max,gc_avg,gc_std,CDS,Completeness (%),Contamination (%),Relative abundance (%),5S-full,5S-partial,16S-full,16S-partial,23S-full,23S-partial,Circular,Taxa (GTDB),original_genome_id,%GC,CheckM completeness,CheckM contamination,MAG draft quality,Site,Year,Environment,Sample,Depth (cm),BGCs,BGCs (in >10kb contigs),CD domains,KS domains,CD+KS domains,Depth trend,Vegetation trend,Previous publication,Chrs
ANG_182,custom,,,,,,,,,,,,,,,,,Actinobacteria,Sharrar_et_al,,,,,,,,,,,,,,,,,,,4629372.0,,,,,,,,,,,,,,,,,,,,Actinobacteria_ANG_182,70.34,98.29,0.85,High,Sagehorn,2016.0,Garry oak,Sage2_L_100_16,100.0,3.0,3.0,0.0,3.0,3.0,deep,tree,,
7526_65_14,custom,,,,,,,,,,,,,,,,,Betaproteobacteria,Sharrar_et_al,,,,,,,,,,,,,,,,,,,3703317.0,,,,,,,,,,,,,,,,,,,,14_0929_12_40cm_Betaproteobacteria_7526_65_14,64.63,92.36,4.43,High,Angelo,2014.0,Meadow grassland,14_0929_12_40cm,40.0,4.0,3.0,0.0,3.0,3.0,neither,neither,"Diamond et al., 2019",
ANG_185,custom,,,,,,,,,,,,,,,,,Deltaproteobacteria,Sharrar_et_al,,,,,,,,,,,,,,,,,,,4561984.0,,,,,,,,,,,,,,,,,,,,Deltaproteobacteria_ANG_185,64.03,91.05,2.1,High,Rivendell,2013.0,Douglas fir,2013_40cm,40.0,3.0,3.0,1.0,2.0,3.0,neither,neither,,
ANG_187,custom,,,,,,,,,,,,,,,,,Actinobacteria,Sharrar_et_al,,,,,,,,,,,,,,,,,,,4339299.0,,,,,,,,,,,,,,,,,,,,Actinobacteria_ANG_187,70.72,98.29,0.85,High,Sagehorn,2016.0,Hilly grassland,Sage1_R_80_16,80.0,2.0,2.0,0.0,3.0,3.0,neither,grassland,,
ANG_183,custom,,,,,,,,,,,,,,,,,Actinobacteria,Sharrar_et_al,,,,,,,,,,,,,,,,,,,5213541.0,,,,,,,,,,,,,,,,,,,,Actinobacteria_ANG_183,69.86,99.15,2.14,High,Sagehorn,2016.0,Hilly grassland,Sage1_R_113_16,115.0,3.0,2.0,0.0,3.0,3.0,neither,grassland,,
1059_67_7,custom,,,,,,,,,,,,,,,,,Betaproteobacteria,Sharrar_et_al,,,,,,,,,,,,,,,,,,,4118139.0,,,,,,,,,,,,,,,,,,,,14_0903_12_30cm_Betaproteobacteria_1059_67_7,67.22,92.15,4.29,High,Angelo,2014.0,Meadow grassland,14_0903_12_30cm,30.0,5.0,2.0,0.0,3.0,3.0,shallow,neither,"Diamond et al., 2019",
ANG_192,custom,,,,,,,,,,,,,,,,,Actinobacteria,Sharrar_et_al,,,,,,,,,,,,,,,,,,,3627832.0,,,,,,,,,,,,,,,,,,,,Actinobacteria_ANG_192,71.29,95.3,1.92,High,Sagehorn,2016.0,Hilly grassland,Sage1_R_100_16,100.0,1.0,1.0,0.0,3.0,3.0,neither,grassland,,
ANG_191,custom,,,,,,,,,,,,,,,,,Actinobacteria,Sharrar_et_al,,,,,,,,,,,,,,,,,,,3829226.0,,,,,,,,,,,,,,,,,,,,Actinobacteria_ANG_191,71.47,98.29,4.91,High,Sagehorn,2016.0,Hilly grassland,Sage1_L_100_16,100.0,1.0,1.0,0.0,3.0,3.0,neither,grassland,,
ANG_189,custom,,,,,,,,,,,,,,,,,Gemmatimonadetes,Sharrar_et_al,,,,,,,,,,,,,,,,,,,3815418.0,,,,,,,,,,,,,,,,,,,,Gemmatimonadetes_ANG_189,66.13,93.96,0.0,High,Angelo,2014.0,Meadow grassland,14_0903_13_20cm,20.0,2.0,1.0,3.0,0.0,3.0,shallow,neither,,
ANG_151,custom,,,,,,,,,,,,,,,,,Verrucomicrobia,Sharrar_et_al,,,,,,,,,,,,,,,,,,,2536261.0,,,,,,,,,,,,,,,,,,,,Verrucomicrobia_ANG_151,55.24,91.22,4.95,High,Angelo,2014.0,Meadow grassland,14_0927_05_40cm,40.0,7.0,1.0,0.0,3.0,3.0,deep,neither,,
ANG_200,custom,,,,,,,,,,,,,,,,,Alphaproteobacteria,Sharrar_et_al,,,,,,,,,,,,,,,,,,,5281779.0,,,,,,,,,,,,,,,,,,,,Alphaproteobacteria_ANG_200,59.45,93.11,0.87,High,Rivendell,2013.0,Douglas fir,2013_60cm,60.0,8.0,8.0,0.0,2.0,2.0,neither,tree,,
gp2_AA100,custom,,,,,,,,,,,,,,,,,Acidobacteria,Sharrar_et_al,,,,,,,,,,,,,,,,,,,4983911.0,,,,,,,,,,,,,,,,,,,,Acidobacteria_gp2_AA100,57.07,94.66,1.71,High,Angelo,2014.0,Meadow grassland,14_1009_05_40cm,40.0,7.0,7.0,2.0,0.0,2.0,shallow,neither,"Crits-Christoph et al., 2018; Diamond et al., 2019",
ANG_205,custom,,,,,,,,,,,,,,,,,Acidobacteria,Sharrar_et_al,,,,,,,,,,,,,,,,,,,5375064.0,,,,,,,,,,,,,,,,,,,,Acidobacteria_ANG_205,57.23,94.87,1.71,High,Angelo,2014.0,Meadow grassland,14_1009_02_40cm,40.0,7.0,7.0,2.0,0.0,2.0,shallow,neither,,
ANG_206,custom,,,,,,,,,,,,,,,,,Acidobacteria,Sharrar_et_al,,,,,,,,,,,,,,,,,,,4621784.0,,,,,,,,,,,,,,,,,,,,Acidobacteria_ANG_206,55.99,98.08,1.57,High,Rivendell,2016.0,Madrone,Mad1_115_16,115.0,7.0,7.0,2.0,0.0,2.0,neither,neither,,
gp2_AA88,custom,,,,,,,,,,,,,,,,,Acidobacteria,Sharrar_et_al,,,,,,,,,,,,,,,,,,,6119419.0,,,,,,,,,,,,,,,,,,,,Acidobacteria_gp2_AA88,57.11,91.88,4.27,High,Angelo,2014.0,Meadow grassland,14_0929_02_30cm,30.0,8.0,6.0,2.0,0.0,2.0,shallow,neither,"Crits-Christoph et al., 2018; Diamond et al., 2019",
ANG_224,custom,,,,,,,,,,,,,,,,,Deltaproteobacteria,Sharrar_et_al,,,,,,,,,,,,,,,,,,,4601623.0,,,,,,,,,,,,,,,,,,,,Deltaproteobacteria_ANG_224,70.47,94.84,1.04,High,Sagehorn,2016.0,Garry oak,Sage2_L_100_16,100.0,6.0,6.0,0.0,2.0,2.0,deep,neither,,
ANG_216,custom,,,,,,,,,,,,,,,,,Verrucomicrobia,Sharrar_et_al,,,,,,,,,,,,,,,,,,,2663809.0,,,,,,,,,,,,,,,,,,,,Verrucomicrobia_ANG_216,55.66,93.81,2.29,High,Sagehorn,2016.0,Hilly grassland,Sage1_R_60_16,60.0,7.0,6.0,0.0,2.0,2.0,deep,grassland,,
ANG_230,custom,,,,,,,,,,,,,,,,,Verrucomicrobia,Sharrar_et_al,,,,,,,,,,,,,,,,,,,7020067.0,,,,,,,,,,,,,,,,,,,,Verrucomicrobia_ANG_230,61.8,99.32,2.7,High,Sagehorn,2016.0,Hilly grassland,Sage1_R_80_16,80.0,6.0,6.0,0.0,2.0,2.0,neither,grassland,,
ANG_235,custom,,,,,,,,,,,,,,,,,Acidobacteria,Sharrar_et_al,,,,,,,,,,,,,,,,,,,5436680.0,,,,,,,,,,,,,,,,,,,,Acidobacteria_ANG_235,57.05,94.87,3.38,High,Angelo,2014.0,Meadow grassland,14_0919_02_20cm,20.0,5.0,5.0,2.0,0.0,2.0,shallow,neither,,
ANG_221,custom,,,,,,,,,,,,,,,,,Alphaproteobacteria,Sharrar_et_al,,,,,,,,,,,,,,,,,,,4511886.0,,,,,,,,,,,,,,,,,,,,Alphaproteobacteria_ANG_221,63.07,90.71,3.69,High,Sagehorn,2016.0,Hilly grassland,Sage1_L_20_16,20.0,6.0,5.0,0.0,2.0,2.0,shallow,grassland,,
ANG_239,custom,,,,,,,,,,,,,,,,,Betaproteobacteria,Sharrar_et_al,,,,,,,,,,,,,,,,,,,3651813.0,,,,,,,,,,,,,,,,,,,,Betaproteobacteria_ANG_239,60.16,96.05,0.05,High,Rivendell,2013.0,Douglas fir,2013_40cm,40.0,5.0,5.0,0.0,2.0,2.0,neither,neither,,
ANG_211,custom,,,,,,,,,,,,,,,,,Chloroflexi,Sharrar_et_al,,,,,,,,,,,,,,,,,,,6646187.0,,,,,,,,,,,,,,,,,,,,Chloroflexi_ANG_211,65.78,90.15,1.98,High,Angelo,2014.0,Meadow grassland,14_1009_16_30cm,30.0,7.0,5.0,0.0,2.0,2.0,deep,neither,,
AR28,custom,,,,,,,,,,,,,,,,,Rokubacteria,Sharrar_et_al,,,,,,,,,,,,,,,,,,,6013750.0,,,,,,,,,,,,,,,,,,,,Rokubacteria_AR28,68.47,91.03,4.38,High,Angelo,2014.0,Meadow grassland,14_1009_16_30cm,30.0,6.0,5.0,0.0,2.0,2.0,shallow,neither,"Crits-Christoph et al., 2018; Diamond et al., 2019",
ANG_203,custom,,,,,,,,,,,,,,,,,Verrucomicrobia,Sharrar_et_al,,,,,,,,,,,,,,,,,,,3394297.0,,,,,,,,,,,,,,,,,,,,Verrucomicrobia_ANG_203,55.05,93.92,4.05,High,Sagehorn,2016.0,Garry oak,Sage2_L_80_16,80.0,8.0,5.0,0.0,2.0,2.0,shallow,grassland,,
ANG_244,custom,,,,,,,,,,,,,,,,,Verrucomicrobia,Sharrar_et_al,,,,,,,,,,,,,,,,,,,3435975.0,,,,,,,,,,,,,,,,,,,,Verrucomicrobia_ANG_244,54.71,97.75,4.05,High,Sagehorn,2016.0,Hilly grassland,Sage1_R_60_16,60.0,5.0,5.0,0.0,2.0,2.0,shallow,grassland,,
AV32,custom,,,,,,,,,,,,,,,,,Verrucomicrobia,Sharrar_et_al,,,,,,,,,,,,,,,,,,,2731459.0,,,,,,,,,,,,,,,,,,,,Verrucomicrobia_AV32,55.62,99.19,4.05,High,Angelo,2014.0,Meadow grassland,14_0903_12_30cm,30.0,5.0,5.0,0.0,2.0,2.0,deep,neither,"Crits-Christoph et al., 2018; Diamond et al., 2019",
AV80,custom,,,,,,,,,,,,,,,,,Verrucomicrobia,Sharrar_et_al,,,,,,,,,,,,,,,,,,,3973905.0,,,,,,,,,,,,,,,,,,,,Verrucomicrobia_AV80,58.78,100.0,2.74,High,Angelo,2014.0,Meadow grassland,14_1009_05_20cm,20.0,5.0,5.0,0.0,2.0,2.0,shallow,grassland,"Crits-Christoph et al., 2018; Diamond et al., 2019",
ANG_237,custom,,,,,,,,,,,,,,,,,Actinobacteria,Sharrar_et_al,,,,,,,,,,,,,,,,,,,3445682.0,,,,,,,,,,,,,,,,,,,,Actinobacteria_ANG_237,67.62,91.24,4.31,High,Sagehorn,2016.0,Hilly grassland,Sage1_R_80_16,80.0,5.0,4.0,0.0,2.0,2.0,neither,grassland,,
ANG_208,custom,,,,,,,,,,,,,,,,,Actinobacteria,Sharrar_et_al,,,,,,,,,,,,,,,,,,,7189531.0,,,,,,,,,,,,,,,,,,,,Actinobacteria_ANG_208,71.13,98.29,1.71,High,Sagehorn,2016.0,Garry oak,Sage2_L_60_16,60.0,7.0,4.0,2.0,0.0,2.0,neither,grassland,,
ANG_258,custom,,,,,,,,,,,,,,,,,Betaproteobacteria,Sharrar_et_al,,,,,,,,,,,,,,,,,,,3352829.0,,,,,,,,,,,,,,,,,,,,Betaproteobacteria_ANG_258,64.08,92.12,2.03,High,Sagehorn,2016.0,Hilly grassland,Sage1_L_60_16,60.0,4.0,4.0,0.0,2.0,2.0,deep,grassland,,
6506_67_17,custom,,,,,,,,,,,,,,,,,Dormibacteraeota,Sharrar_et_al,,,,,,,,,,,,,,,,,,,3622083.0,,,,,,,,,,,,,,,,,,,,14_0927_12_40cm_Bacteria_6506_67_17,66.71,95.37,0.93,High,Angelo,2014.0,Meadow grassland,14_0927_12_40cm,40.0,5.0,4.0,0.0,2.0,2.0,neither,neither,"Diamond et al., 2019",
AV44,custom,,,,,,,,,,,,,,,,,Verrucomicrobia,Sharrar_et_al,,,,,,,,,,,,,,,,,,,2381129.0,,,,,,,,,,,,,,,,,,,,Verrucomicrobia_AV44,55.4,90.8,3.72,High,Angelo,2014.0,Meadow grassland,14_0927_12_20cm,20.0,4.0,4.0,0.0,2.0,2.0,neither,grassland,"Crits-Christoph et al., 2018; Diamond et al., 2019",
ANG_270,custom,,,,,,,,,,,,,,,,,Verrucomicrobia,Sharrar_et_al,,,,,,,,,,,,,,,,,,,2265119.0,,,,,,,,,,,,,,,,,,,,Verrucomicrobia_ANG_270,55.8,94.1,2.03,High,Rivendell,2015.0,Douglas fir,15con1,200.0,4.0,4.0,0.0,2.0,2.0,deep,grassland,,
AV37,custom,,,,,,,,,,,,,,,,,Verrucomicrobia,Sharrar_et_al,,,,,,,,,,,,,,,,,,,3090450.0,,,,,,,,,,,,,,,,,,,,Verrucomicrobia_AV37,55.09,97.3,3.15,High,Angelo,2014.0,Meadow grassland,14_0929_12_40cm,40.0,5.0,4.0,0.0,2.0,2.0,neither,neither,"Crits-Christoph et al., 2018; Diamond et al., 2019",
ANG_273,custom,,,,,,,,,,,,,,,,,Verrucomicrobia,Sharrar_et_al,,,,,,,,,,,,,,,,,,,3313453.0,,,,,,,,,,,,,,,,,,,,Verrucomicrobia_ANG_273,55.24,98.31,4.39,High,Sagehorn,2016.0,Hilly grassland,Sage1_R_113_16,115.0,4.0,4.0,0.0,2.0,2.0,neither,grassland,,
ANG_271,custom,,,,,,,,,,,,,,,,,Verrucomicrobia,Sharrar_et_al,,,,,,,,,,,,,,,,,,,2753668.0,,,,,,,,,,,,,,,,,,,,Verrucomicrobia_ANG_271,55.81,98.62,4.73,High,Rivendell,2016.0,Madrone,Mad1_40_16,40.0,4.0,4.0,0.0,2.0,2.0,shallow,grassland,,
ANG_288,custom,,,,,,,,,,,,,,,,,Betaproteobacteria,Sharrar_et_al,,,,,,,,,,,,,,,,,,,3313212.0,,,,,,,,,,,,,,,,,,,,Betaproteobacteria_ANG_288,66.17,96.75,1.18,High,Rivendell,2013.0,Douglas fir,2013_60cm,60.0,3.0,3.0,0.0,2.0,2.0,neither,neither,,
ANG_292,custom,,,,,,,,,,,,,,,,,Gammaproteobacteria,Sharrar_et_al,,,,,,,,,,,,,,,,,,,4010656.0,,,,,,,,,,,,,,,,,,,,Gammaproteobacteria_ANG_292,55.07,97.56,2.44,High,Rivendell,2015.0,Douglas fir,15con2h1_8,200.0,3.0,3.0,1.0,1.0,2.0,deep,neither,,
ANG_274,custom,,,,,,,,,,,,,,,,,Verrucomicrobia,Sharrar_et_al,,,,,,,,,,,,,,,,,,,2848443.0,,,,,,,,,,,,,,,,,,,,Verrucomicrobia_ANG_274,54.8,90.03,1.91,High,Angelo,2014.0,Meadow grassland,14_0903_12_20cm,20.0,4.0,3.0,0.0,2.0,2.0,shallow,neither,,
AV86,custom,,,,,,,,,,,,,,,,,Verrucomicrobia,Sharrar_et_al,,,,,,,,,,,,,,,,,,,2779190.0,,,,,,,,,,,,,,,,,,,,Verrucomicrobia_AV86,55.13,92.61,4.77,High,Angelo,2014.0,Meadow grassland,14_0929_05_20cm,20.0,5.0,3.0,0.0,2.0,2.0,shallow,neither,"Crits-Christoph et al., 2018; Diamond et al., 2019",
ANG_278,custom,,,,,,,,,,,,,,,,,Verrucomicrobia,Sharrar_et_al,,,,,,,,,,,,,,,,,,,2781498.0,,,,,,,,,,,,,,,,,,,,Verrucomicrobia_ANG_278,54.25,94.09,3.04,High,Angelo,2014.0,Meadow grassland,14_1009_12_30cm,30.0,4.0,3.0,0.0,2.0,2.0,shallow,neither,,
ANG_308,custom,,,,,,,,,,,,,,,,,Gemmatimonadetes,Sharrar_et_al,,,,,,,,,,,,,,,,,,,3700156.0,,,,,,,,,,,,,,,,,,,,Gemmatimonadetes_ANG_308,68.2,98.9,2.2,High,Angelo,2014.0,Meadow grassland,14_0929_02_30cm,30.0,2.0,2.0,2.0,0.0,2.0,shallow,neither,,
AV68,custom,,,,,,,,,,,,,,,,,Verrucomicrobia,Sharrar_et_al,,,,,,,,,,,,,,,,,,,2751760.0,,,,,,,,,,,,,,,,,,,,Verrucomicrobia_AV68,54.51,93.92,4.39,High,Angelo,2014.0,Meadow grassland,14_0929_05_30cm,30.0,4.0,2.0,0.0,2.0,2.0,neither,grassland,"Crits-Christoph et al., 2018; Diamond et al., 2019",
ANG_306,custom,,,,,,,,,,,,,,,,,Chloroflexi,Sharrar_et_al,,,,,,,,,,,,,,,,,,,6774783.0,,,,,,,,,,,,,,,,,,,,Ktedonobacter_racemifer_ANG_306,51.81,90.81,2.97,High,Rivendell,2013.0,Douglas fir,2013_60cm,60.0,2.0,1.0,0.0,2.0,2.0,shallow,tree,,
ANG_312,custom,,,,,,,,,,,,,,,,,Actinobacteria,Sharrar_et_al,,,,,,,,,,,,,,,,,,,4432404.0,,,,,,,,,,,,,,,,,,,,Actinobacteria_ANG_312,72.88,91.45,1.71,High,Sagehorn,2016.0,Hilly grassland,Sage1_R_100_16,100.0,1.0,0.0,2.0,0.0,2.0,neither,grassland,,
ANG_318,custom,,,,,,,,,,,,,,,,,Alphaproteobacteria,Sharrar_et_al,,,,,,,,,,,,,,,,,,,4544726.0,,,,,,,,,,,,,,,,,,,,Bradyrhizobium_ANG_318,59.73,98.09,0.49,High,Rivendell,2016.0,Madrone,Mad1_40_16,40.0,9.0,9.0,1.0,0.0,1.0,neither,neither,,
8922_67_8,custom,,,,,,,,,,,,,,,,,Gammaproteobacteria,Sharrar_et_al,,,,,,,,,,,,,,,,,,,4187139.0,,,,,,,,,,,,,,,,,,,,14_1009_13_20cm_Proteobacteria_8922_67_8,67.49,93.11,4.39,High,Angelo,2014.0,Meadow grassland,14_1009_13_20cm,20.0,10.0,9.0,0.0,1.0,1.0,shallow,neither,"Diamond et al., 2019",
8014_68_16,custom,,,,,,,,,,,,,,,,,Deltaproteobacteria,Sharrar_et_al,,,,,,,,,,,,,,,,,,,5280167.0,,,,,,,,,,,,,,,,,,,,14_1009_09_30cm_Proteobacteria_8014_68_16,68.18,94.09,3.0,High,Angelo,2014.0,Meadow grassland,14_1009_09_30cm,30.0,8.0,8.0,0.0,1.0,1.0,neither,tree,"Diamond et al., 2019",
ANG_322,custom,,,,,,,,,,,,,,,,,Gammaproteobacteria,Sharrar_et_al,,,,,,,,,,,,,,,,,,,4136040.0,,,,,,,,,,,,,,,,,,,,Gammaproteobacteria_ANG_322,67.68,94.69,3.65,High,Angelo,2014.0,Meadow grassland,14_0903_02_30cm,30.0,8.0,8.0,0.0,1.0,1.0,shallow,grassland,,
54_67_14,custom,,,,,,,,,,,,,,,,,Gammaproteobacteria,Sharrar_et_al,,,,,,,,,,,,,,,,,,,4227238.0,,,,,,,,,,,,,,,,,,,,14_0903_02_20cm_Proteobacteria_54_67_14,66.8,95.99,2.52,High,Angelo,2014.0,Meadow grassland,14_0903_02_20cm,20.0,7.0,7.0,0.0,1.0,1.0,shallow,grassland,"Diamond et al., 2019",
ANG_332,custom,,,,,,,,,,,,,,,,,Acidobacteria,Sharrar_et_al,,,,,,,,,,,,,,,,,,,5590104.0,,,,,,,,,,,,,,,,,,,,Acidobacteria_ANG_332,55.68,99.36,3.42,High,Sagehorn,2016.0,Hilly grassland,Sage1_R_80_16,80.0,6.0,6.0,1.0,0.0,1.0,deep,grassland,,
1652_62_11,custom,,,,,,,,,,,,,,,,,Alphaproteobacteria,Sharrar_et_al,,,,,,,,,,,,,,,,,,,6750997.0,,,,,,,,,,,,,,,,,,,,14_0919_09_20cm_Bradyrhizobium_1652_62_11,61.78,97.67,2.16,High,Angelo,2014.0,Meadow grassland,14_0919_09_20cm,20.0,6.0,6.0,1.0,0.0,1.0,neither,neither,"Diamond et al., 2019",
4183_68_9,custom,,,,,,,,,,,,,,,,,Deltaproteobacteria,Sharrar_et_al,,,,,,,,,,,,,,,,,,,5190202.0,,,,,,,,,,,,,,,,,,,,14_1009_05_30cm_Deltaproteobacteria_4183_68_9,67.86,98.06,3.87,High,Angelo,2014.0,Meadow grassland,14_1009_05_30cm,30.0,6.0,6.0,0.0,1.0,1.0,shallow,grassland,"Diamond et al., 2019",
gp22_AA4,custom,,,,,,,,,,,,,,,,,Acidobacteria,Sharrar_et_al,,,,,,,,,,,,,,,,,,,3747099.0,,,,,,,,,,,,,,,,,,,,Acidobacteria_gp22_AA4,67.55,91.09,3.42,High,Angelo,2014.0,Meadow grassland,14_0903_16_40cm,40.0,5.0,5.0,1.0,0.0,1.0,neither,neither,"Crits-Christoph et al., 2018; Diamond et al., 2019",
ANG_342,custom,,,,,,,,,,,,,,,,,Acidobacteria,Sharrar_et_al,,,,,,,,,,,,,,,,,,,6003969.0,,,,,,,,,,,,,,,,,,,,Acidobacteria_ANG_342,54.13,95.46,2.56,High,Rivendell,2013.0,Douglas fir,2013_40cm,40.0,5.0,5.0,1.0,0.0,1.0,neither,grassland,,
gp1_AA141,custom,,,,,,,,,,,,,,,,,Acidobacteria,Sharrar_et_al,,,,,,,,,,,,,,,,,,,5693849.0,,,,,,,,,,,,,,,,,,,,Acidobacteria_gp1_AA141,55.85,96.84,3.52,High,Angelo,2014.0,Meadow grassland,14_1009_16_30cm,30.0,5.0,5.0,1.0,0.0,1.0,neither,grassland,"Crits-Christoph et al., 2018; Diamond et al., 2019",
3617_68_7,custom,,,,,,,,,,,,,,,,,Deltaproteobacteria,Sharrar_et_al,,,,,,,,,,,,,,,,,,,5055905.0,,,,,,,,,,,,,,,,,,,,14_1009_02_20cm_Proteobacteria_3617_68_7,68.32,92.11,1.61,High,Angelo,2014.0,Meadow grassland,14_1009_02_20cm,20.0,5.0,5.0,0.0,1.0,1.0,shallow,grassland,"Diamond et al., 2019",
5405_67_12,custom,,,,,,,,,,,,,,,,,Gammaproteobacteria,Sharrar_et_al,,,,,,,,,,,,,,,,,,,3475208.0,,,,,,,,,,,,,,,,,,,,14_0903_16_20cm_Proteobacteria_5405_67_12,67.64,92.34,4.38,High,Angelo,2014.0,Meadow grassland,14_0903_16_20cm,20.0,5.0,5.0,0.0,1.0,1.0,shallow,grassland,"Diamond et al., 2019",
ANG_348,custom,,,,,,,,,,,,,,,,,Gammaproteobacteria,Sharrar_et_al,,,,,,,,,,,,,,,,,,,3619965.0,,,,,,,,,,,,,,,,,,,,Gammaproteobacteria_ANG_348,67.65,95.65,2.11,High,Angelo,2014.0,Meadow grassland,14_0903_12_20cm,20.0,5.0,5.0,0.0,1.0,1.0,shallow,grassland,,
ANG_354,custom,,,,,,,,,,,,,,,,,Acidobacteria,Sharrar_et_al,,,,,,,,,,,,,,,,,,,4877296.0,,,,,,,,,,,,,,,,,,,,Acidobacteria_ANG_354,55.73,96.25,2.74,High,Angelo,2014.0,Meadow grassland,14_0903_13_30cm,30.0,4.0,4.0,1.0,0.0,1.0,neither,neither,,
ANG_355,custom,,,,,,,,,,,,,,,,,Acidobacteria,Sharrar_et_al,,,,,,,,,,,,,,,,,,,4931210.0,,,,,,,,,,,,,,,,,,,,Acidobacteria_ANG_355,56.4,96.67,1.71,High,Sagehorn,2016.0,Hilly grassland,Sage1_L_60_16,60.0,4.0,4.0,1.0,0.0,1.0,neither,grassland,,
ANG_359,custom,,,,,,,,,,,,,,,,,Actinobacteria,Sharrar_et_al,,,,,,,,,,,,,,,,,,,4199427.0,,,,,,,,,,,,,,,,,,,,Actinobacteria_ANG_359,69.18,93.68,1.9,High,Sagehorn,2016.0,Hilly grassland,Sage1_R_60_16,60.0,4.0,4.0,0.0,1.0,1.0,neither,grassland,,
ANG_366,custom,,,,,,,,,,,,,,,,,Gemmatimonadetes,Sharrar_et_al,,,,,,,,,,,,,,,,,,,3448421.0,,,,,,,,,,,,,,,,,,,,Gemmatimonadetes_ANG_366,69.13,93.41,1.1,High,Angelo,2014.0,Meadow grassland,14_1009_02_30cm,30.0,4.0,4.0,0.0,1.0,1.0,shallow,neither,,
ANG_371,custom,,,,,,,,,,,,,,,,,Verrucomicrobia,Sharrar_et_al,,,,,,,,,,,,,,,,,,,3408812.0,,,,,,,,,,,,,,,,,,,,Verrucomicrobia_ANG_371,54.94,98.27,2.93,High,Sagehorn,2016.0,Hilly grassland,Sage1_R_100_16,100.0,4.0,4.0,1.0,0.0,1.0,neither,grassland,,
gp3_AA109,custom,,,,,,,,,,,,,,,,,Acidobacteria,Sharrar_et_al,,,,,,,,,,,,,,,,,,,9181584.0,,,,,,,,,,,,,,,,,,,,Acidobacteria_gp3_AA109,58.36,97.37,2.19,High,Angelo,2014.0,Meadow grassland,14_0903_13_30cm,30.0,4.0,3.0,0.0,1.0,1.0,shallow,grassland,"Crits-Christoph et al., 2018; Diamond et al., 2019",
ANG_375,custom,,,,,,,,,,,,,,,,,Acidobacteria,Sharrar_et_al,,,,,,,,,,,,,,,,,,,4681699.0,,,,,,,,,,,,,,,,,,,,Acidobacteria_ANG_375,55.68,98.02,1.71,High,Angelo,2014.0,Meadow grassland,14_0927_12_20cm,20.0,3.0,3.0,1.0,0.0,1.0,neither,neither,,
ANG_378,custom,,,,,,,,,,,,,,,,,Actinobacteria,Sharrar_et_al,,,,,,,,,,,,,,,,,,,3514451.0,,,,,,,,,,,,,,,,,,,,Actinobacteria_ANG_378,69.97,98.29,2.99,High,Sagehorn,2016.0,Hilly grassland,Sage1_R_100_16,100.0,3.0,3.0,0.0,1.0,1.0,neither,grassland,,
ANG_380,custom,,,,,,,,,,,,,,,,,Betaproteobacteria,Sharrar_et_al,,,,,,,,,,,,,,,,,,,4138301.0,,,,,,,,,,,,,,,,,,,,Betaproteobacteria_ANG_380,66.0,97.1,0.68,High,Sagehorn,2016.0,Garry oak,Sage2_L_115_16,115.0,3.0,3.0,0.0,1.0,1.0,neither,tree,,
ANG_346,custom,,,,,,,,,,,,,,,,,Chloroflexi,Sharrar_et_al,,,,,,,,,,,,,,,,,,,5086198.0,,,,,,,,,,,,,,,,,,,,Chloroflexi_ANG_346,65.18,90.1,2.18,High,Rivendell,2015.0,Douglas fir,15con2h1_8,200.0,5.0,3.0,0.0,1.0,1.0,deep,neither,,
10562_68_13,custom,,,,,,,,,,,,,,,,,Deltaproteobacteria,Sharrar_et_al,,,,,,,,,,,,,,,,,,,4443988.0,,,,,,,,,,,,,,,,,,,,14_0927_12_20cm_Deltaproteobacteria_10562_68_13,68.21,96.77,1.29,High,Angelo,2014.0,Meadow grassland,14_0927_12_20cm,20.0,5.0,3.0,0.0,1.0,1.0,neither,neither,"Diamond et al., 2019",
159_36_9,custom,,,,,,,,,,,,,,,,,Gammaproteobacteria,Sharrar_et_al,,,,,,,,,,,,,,,,,,,2234490.0,,,,,,,,,,,,,,,,,,,,14_0903_02_30cm_Rickettsiella_grylli_159_36_9,36.23,92.44,0.87,High,Angelo,2014.0,Meadow grassland,14_0903_02_30cm,30.0,4.0,3.0,1.0,0.0,1.0,shallow,neither,"Diamond et al., 2019",
AG21,custom,,,,,,,,,,,,,,,,,Gemmatimonadetes,Sharrar_et_al,,,,,,,,,,,,,,,,,,,3714046.0,,,,,,,,,,,,,,,,,,,,Gemmatimonadetes_AG21,69.29,94.32,3.3,High,Angelo,2014.0,Meadow grassland,14_0927_05_20cm,20.0,3.0,3.0,1.0,0.0,1.0,neither,neither,"Crits-Christoph et al., 2018; Diamond et al., 2019",
